Date,open,close,high,low,volumn,price_change,day
2018-10-09,249.55,250.1,258.3,245.25,206150,-0.0142,2018-10-09
2018-10-10,257.75,252,264.9,250.1,133840,0.0329,2018-10-10
2018-10-11,246.45,250,253.95,245,157750,-0.0438,2018-10-11
2018-10-12,248.9,248,254.85,247.05,108820,0.0099,2018-10-12
2018-10-15,253.1,250.05,257.8,247.3,123780,0.0169,2018-10-15
2018-10-16,271.05,255,276.4,254.35,457630,0.0709,2018-10-16
2018-10-17,268.15,274.6,276.95,257.5,176100,-0.0107,2018-10-17
2018-10-19,264.75,265,275,257,570560,-0.0127,2018-10-19
2018-10-22,268.25,264.35,273,258.1,121480,0.0132,2018-10-22
2018-10-23,267.6,265,271.2,262.6,148120,-0.0024,2018-10-23
2018-10-24,267.65,269.95,272.35,263,87360,0.0002,2018-10-24
2018-10-25,266.35,266.4,269.8,262.15,103050,-0.0049,2018-10-25
2018-10-26,259.7,265,265.55,257,87450,-0.025,2018-10-26
2018-10-29,260.8,259.9,264.8,257.65,115870,0.0042,2018-10-29
2018-10-30,260.15,259.9,263.95,258,173880,-0.0025,2018-10-30
2018-10-31,260.05,260.6,261.8,256,112470,-0.0004,2018-10-31
2018-11-01,268.65,260,271.15,260,103610,0.0331,2018-11-01
2018-11-02,270.6,271,274,267.8,161450,0.0073,2018-11-02
2018-11-05,276.85,271.75,282.3,268,154870,0.0231,2018-11-05
2018-11-06,279.6,279.35,287.45,277.05,432080,0.0099,2018-11-06
2018-11-07,291.6,282.9,294.95,282.05,394200,0.0429,2018-11-07
2018-11-09,285.65,292.75,293.35,283.1,254590,-0.0204,2018-11-09
2018-11-12,284.25,287.35,298.2,282,281410,-0.0049,2018-11-12
2018-11-13,286.2,282.8,288,281.05,196190,0.0069,2018-11-13
2018-11-14,294.45,288.5,303,288.5,991010,0.0288,2018-11-14
2018-11-15,277.8,294.45,294.45,275.1,367430,-0.0565,2018-11-15
2018-11-16,276.95,277.8,285.9,276,121250,-0.0031,2018-11-16
2018-11-19,272.45,278.1,278.15,271.1,66270,-0.0162,2018-11-19
2018-11-20,262.35,270,274.05,261.5,94320,-0.0371,2018-11-20
2018-11-21,266.25,260.8,269.9,260.1,88440,0.0149,2018-11-21
2018-11-22,267.3,264,273.4,263.25,140530,0.0039,2018-11-22
2018-11-26,269.2,268.25,271.25,261.1,84500,0.0071,2018-11-26
2018-11-27,264.6,269.95,272.9,263.5,86640,-0.0171,2018-11-27
2018-11-28,265.05,263.5,266.9,262.5,61080,0.0017,2018-11-28
2018-11-29,264.25,263.55,269.9,262.35,64310,-0.003,2018-11-29
2018-11-30,263.15,265.85,266.4,261.8,92240,-0.0042,2018-11-30
2018-12-03,263.75,264.35,265.7,262.4,37000,0.0023,2018-12-03
2018-12-04,264.95,264.45,267.65,262.3,25260,0.0045,2018-12-04
2018-12-05,264.1,263.2,267.9,262.8,27830,-0.0032,2018-12-05
2018-12-06,265.7,267.45,275.9,264,168250,0.0061,2018-12-06
2018-12-07,264,263.85,268.9,262.3,79110,-0.0064,2018-12-07
2018-12-10,255.15,255.1,262.15,254.65,51090,-0.0335,2018-12-10
2018-12-11,258.85,255.15,260.9,253.3,29570,0.0145,2018-12-11
2018-12-12,266.95,257.25,267.9,257.25,106050,0.0313,2018-12-12
2018-12-13,267.95,265.1,271.85,262.75,57340,0.0037,2018-12-13
2018-12-14,264.1,269.85,269.85,263.4,30340,-0.0144,2018-12-14
2018-12-17,265.5,264.35,268.9,264.05,40310,0.0053,2018-12-17
2018-12-18,270.05,263.85,273.8,263.85,174950,0.0171,2018-12-18
2018-12-19,267.25,271.6,273.4,265.65,50160,-0.0104,2018-12-19
2018-12-20,276.65,265.5,282.8,265.5,140720,0.0352,2018-12-20
2018-12-21,274.15,276.65,280.8,270.25,75830,-0.009,2018-12-21
2018-12-24,270.7,250,273.6,250,59070,-0.0126,2018-12-24
2018-12-26,271.45,271,272.95,265,82070,0.0028,2018-12-26
2018-12-27,269.15,273.75,274.4,268.1,84650,-0.0085,2018-12-27
2018-12-28,275.95,269.4,279.95,269.4,64100,0.0253,2018-12-28
2018-12-31,278.8,275.9,284,274.05,64010,0.0103,2018-12-31
2019-01-01,278.25,282.8,284.95,275.25,126020,-0.002,2019-01-01
2019-01-02,275.9,276.8,277.65,274.3,102190,-0.0084,2019-01-02
2019-01-03,272.3,276.15,281.75,271.1,42080,-0.013,2019-01-03
2019-01-04,269.85,273.05,273.75,267.3,39890,-0.009,2019-01-04
2019-01-07,270.2,270.25,272.95,270,37490,0.0013,2019-01-07
2019-01-08,268.5,270.2,273,267.55,48620,-0.0063,2019-01-08
2019-01-09,267.5,270,271.55,265.65,48460,-0.0037,2019-01-09
2019-01-10,266.9,267.55,268.85,266.05,54240,-0.0022,2019-01-10
2019-01-11,265.7,266.9,269.1,264.05,57010,-0.0045,2019-01-11
2019-01-14,273.2,265,276.85,265,167450,0.0282,2019-01-14
2019-01-15,283.3,275,290.9,273.5,763570,0.037,2019-01-15
2019-01-16,290,288,296.2,279.4,958650,0.0236,2019-01-16
2019-01-17,292.8,292,296.6,285.25,419920,0.0097,2019-01-17
2019-01-18,294.35,293,296,286.5,218660,0.0053,2019-01-18
2019-01-21,288.65,295,297.4,287,160500,-0.0194,2019-01-21
2019-01-22,289.05,288,294.9,283.1,404520,0.0014,2019-01-22
2019-01-23,287.75,294.9,299.9,285.75,1410000,-0.0045,2019-01-23
2019-01-24,284.7,290.1,292.5,283.5,282670,-0.0106,2019-01-24
2019-01-25,280.9,289.7,294.85,278.5,698120,-0.0133,2019-01-25
2019-01-28,269.95,270,273.75,266.1,539580,-0.039,2019-01-28
2019-01-29,269.7,267.4,272,265.6,83460,-0.0009,2019-01-29
2019-01-30,268,266.95,270.4,266.1,152900,-0.0063,2019-01-30
2019-01-31,266.65,266.3,269.9,264.2,122890,-0.005,2019-01-31
2019-02-01,265.6,268.95,268.95,264.85,48430,-0.0039,2019-02-01
2019-02-04,263.45,267.95,267.95,261.85,45060,-0.0081,2019-02-04
2019-02-05,260.95,264.35,267.95,257.55,132290,-0.0095,2019-02-05
2019-02-06,265.05,263,269.9,255.55,161680,0.0157,2019-02-06
2019-02-07,260.8,269,269.95,259.15,113400,-0.016,2019-02-07
2019-02-08,258.8,264,266,255.1,347190,-0.0077,2019-02-08
2019-02-11,254.7,259,259.45,252.05,109350,-0.0158,2019-02-11
2019-02-12,250.5,254.75,255.55,248.15,386860,-0.0165,2019-02-12
2019-02-13,268.5,251,273.4,251,445490,0.0719,2019-02-13
2019-02-14,269,267,274.9,263,702640,0.0019,2019-02-14
2019-02-15,281.5,269.1,283.65,269.1,286340,0.0465,2019-02-15
2019-02-18,277.6,280.75,284.9,275,228550,-0.0139,2019-02-18
2019-02-19,279.95,278.6,283,272.15,116930,0.0085,2019-02-19
2019-02-20,276.8,282.9,282.9,273.1,162840,-0.0113,2019-02-20
2019-02-21,277.65,278.05,280.75,275.1,61980,0.0031,2019-02-21
2019-02-22,277.45,277.95,279.35,277,63360,-0.0007,2019-02-22
2019-02-25,280.85,279.9,282.95,277,80780,0.0123,2019-02-25
2019-02-26,273.45,275.05,277,268.65,139160,-0.0263,2019-02-26
2019-02-27,273.05,278,279,271.25,978410,-0.0015,2019-02-27
2019-02-28,270.2,275,275,267.55,64210,-0.0104,2019-02-28
2019-03-01,275.25,273.95,277.75,272.1,119440,0.0187,2019-03-01
2019-03-05,281.9,274.85,287.2,271.7,335440,0.0242,2019-03-05
2019-03-06,284.25,285,287,278.3,306430,0.0083,2019-03-06
2019-03-07,290.3,283.5,293.9,283,425640,0.0213,2019-03-07
2019-03-08,289.05,290.45,297,287.4,479850,-0.0043,2019-03-08
2019-03-11,288.6,290.15,293.9,285.65,171430,-0.0016,2019-03-11
2019-03-12,287.5,290,292.4,286,153270,-0.0038,2019-03-12
2019-03-13,297.45,291.5,308,286.2,1120000,0.0346,2019-03-13
2019-03-14,303.45,298,306.85,297,684260,0.0202,2019-03-14
2019-03-15,300.85,308.4,308.5,298.15,416100,-0.0086,2019-03-15
2019-03-18,309.8,303.4,318,301,1160000,0.0297,2019-03-18
2019-03-19,299.25,313.2,314.4,296,970440,-0.0341,2019-03-19
2019-03-20,292.15,300.8,301.6,290,346320,-0.0237,2019-03-20
2019-03-22,287.55,294.45,297,286.25,311840,-0.0157,2019-03-22
